questions,answers
what kind of language do they speak in china?,Standard Mandarin
where does portuguese language come from?,Latin alphabet
what are the major religions in uk?,"Judaism, Catholicism, Presbyterianism, Sikhism, Methodism, Church of England, Hinduism, Islam"
where did jennifer hudson go to school?,"Dunbar Vocational High School, Langston University"
what type of guitar does john mayer play?,Fender Stratocaster
what continent is the usa located in?,North America
what is the currency of spain called?,Euro
which country is to the north of the united states of america?,Canada
what did mozart do to become famous?,Composer
where was avril lavigne born?,Belleville
what are the 3 official languages of spain?,Spanish Language
what type of government does australia currently have?,"Parliamentary system, Federation, Constitutional monarchy"
what county is tampa located in?,Hillsborough County
who has coached the minnesota vikings?,"Harrison Smith, Devin Aromashodu, Chris Kluwe, Joe Webb, Christian Ponder, Josh Robinson, Jarius Wright, McLeod Bethel-Thompson, Blair Walsh, Stephen Burton"
what movies have queen latifah played in?,"Taxi, Jungle Fever, Set It Off, Stranger than Fiction, Last Holiday, Brown Sugar, Ice Age: The Meltdown, Ice Age: Dawn of the Dinosaurs, Hairspray, Bringing Down the House"
what is the short name for stephanie?,Stepha
what year did tim duncan enter the nba?,1997–98 NBA season
who played alf on the tv show?,Paul Fusco
who was the vice president when bill clinton was in office?,Al Gore
which countries does south africa export to?,"Tanzania, Angola"
who did george lucas get engaged to?,Mellody Hobson
what movies does leo howard play in?,"Logan, G.I. Joe: The Rise of Cobra, Aussie & Ted's Great Adventure, Conan the Barbarian, Shorts"
what instruments does john williams use?,"Trombone, Piano, trumpet, clarinet"
what is the language spoken in brazil?,Brazilian Portuguese
who was johnny cash's first wife?,Vivian Liberto
where do tasmanian devils live?,In Tasmania
what a city in montana?,Helena
what was the milwaukee brewers old name?,Seattle Pilots
what type of political system does russia have?,Constitutional republic
what is the political system in egypt?,"Semi-presidential system, Constitutional republic, Republic, Unitary state"
what airport is in kauai hawaii?,Lihue Airport
where are vw cc made?,Germany
what team chris paul play for?,Los Angeles Clippers
what currency should i take to jamaica?,Jamaican dollar
what is illinois state bird?,Northern Cardinal
what three continents touch the atlantic ocean?,"Canada, Europe, Western Sahara, United States of America, France, Sierra Leone, Ireland, Guyana, Nicaragua, Maine"
what language do u speak in egypt?,Modern Standard Arabic
what teams has lionel messi played for?,"Argentina national football team, FC Barcelona, FC Barcelona C, FC Barcelona B"
what time zone is colorado springs co?,Mountain Time Zone
what school did sergio romo go to?,University of North Alabama
who did adam sandler married?,Jackie Sandler
when did the name jehovah first appear?,Jehovah's Witnesses
what is the best island to visit in greece?,Ionian Islands
where did john howard live?,Sydney
what music did beethoven composed?,"Opera, Classical music"
what does the name rome mean?,Romulus and Remus
what did george steinbrenner do?,"Entrepreneur, Theatrical producer, Businessperson, Investor"
who was hadrian and what did he do?,Hadrian's Wall
what influenced langston hughes to write?,Walt Whitman
where did pablo picasso die?,Mougins
who was judy collins married to?,"Peter Taylor, Louis Nelson"
when was the last time the toronto maple leafs make the playoffs?,1967 Stanley Cup Finals
what do they speak in cambodia?,"French Language, Cambodian French, Khmer language"
who is the prime minister of new zealand now?,John Key
what time is nebraska now?,"Mountain Time Zone, Central Time Zone, UTC−07:00, UTC−06:00"
what did nick carter sister died of?,guitar
who is james dean?,Actor
who do roman catholics give authority to?,Pope
where did pres. obama go to school?,"Occidental College, Harvard Law School, Noelani Elementary School, Punahou School, State Elementary School Menteng 01, St. Francis of Assisi Catholic School, Columbia University"
who is nina dobrev playing in perks of being a wallflower?,Candace
when did moscow burn?,1812 Fire of Moscow
who is larry ellison oracle?,"Entrepreneur, Businessperson, Investor"
what is the zip code for fort stockton texas?,79735
what teams drafted the morris twins?,Phoenix Suns
what state does obama come from?,Honolulu
what is vanderbilt's mascot?,Mr. Commodore
what did whitney houston die off?,"Drowning, Coronary artery disease, Cocaine overdose"
when was george w bush sworn in?,George W. Bush 2001 presidential inauguration
what are the airports in chicago?,"Lansing Municipal Airport, O'Hare International Airport, Chicago Midway International Airport, Chicago Executive Airport, Schaumburg Regional Airport, Aurora Municipal Airport, Lewis University Airport, Gary/Chicago International Airport, Waukegan Regional Airport"
what was van gogh famous for?,Painter
where did jane goodall go to school?,University of Cambridge
who won 2012 presidential election in france?,Nicolas Sarkozy
what did thomson discover with his cathode ray tube experiment?,Electron
where did emily murphy go to school?,Bishop Strachan School
what are the major religions in russia?,"Russian Orthodox Church, Islam"
what do most nigerians speak?,English Language
what to do at fairfield ca?,"Fairfield Center for Creative Arts, Pepper Belly's Comedy Club, Milan Institute of Cosmetology, Solano Community College"
where president nixon was born?,Yorba Linda
what currency does thailand accept?,Thai baht
what else did eli whitney invent?,"Interchangeable parts, Cotton gin, Milling"
what jobs did albert einstein have?,"Writer, Author, Mathematician, Professor, Theoretical Physicist, Physicist, Philosopher, Scientist, Peace activist, Pacifist"
where to travel around sydney?,"The Rocks, Rose Seidler House, Bondi Beach, Sydney Opera House, Luna Park Sydney, Wild Life Sydney, Darling Harbour, Sydney Harbour Bridge, St Mary's Cathedral, Sydney, Powerhouse Museum"
what are the names of michael jackson movies?,"Michael Jackson: The Trial and Triumph of the King of Pop, Moonwalker, Listen Up! The Lives of Quincy Jones, Maniac Magee, Miss Cast Away, Michael Jackson: Live in Japan, Michael Jackson: Live in Bucharest: The Dangerous Tour, Miles Davis: Live in Montreal, Michael Jackson's Ghosts, The Wiz"
what timezone is illinois on?,"Central Time Zone, UTC−06:00"
what is the currency in france?,"CFP franc, Euro"
where is the head office of hsbc bank?,New York City
what is the currency in england 2012?,UK £
where is spain exactly located?,"Iberian Peninsula, Europe"
what is the currency name of china?,Renminbi
what movies did charlie hunnam play in?,Green Street
what kind of government does italy have?,"Constitutional republic, Parliamentary republic, Unitary state"
what year michael jordan came in the nba?,1984 NBA Draft
what year did florida marlins win the world series?,2003 World Series
what movie did marlee matlin won an academy award for?,Children of a Lesser God
who is leann rimes with now?,Eddie Cibrian
what countries did queen elizabeth ii rule?,United Kingdom
who played forrest gump as a kid?,Michael Connor Humphreys
where was the battle of vicksburg held?,Warren County
what are the duggars kids names and ages?,Jana Duggar
where does ben stiller live in ny?,New York
what is the official language in mexico?,Spanish Language
what wars did ulysses s grant served in?,"Grant rises in the West., Ulysses S. Grant: The Unlikely Hero, Ulysses S Grant, 1861-1864, The Civil War memoirs of Ulysses S. Grant, The generalship of Ulysses S. Grant, Grant, Grant and Twain: The Story of a Friendship That Changed America, Letters of Ulysses S. Grant to His Father and His Youngest Sister, Personal memoirs, Ulysses S. Grant: The Soldier And the Man"
what type of government does fiji have?,"Military dictatorship, Military junta, Parliamentary republic"
in what state did the bloody battle of antietam take place?,Sharpsburg
where did vietnamese people originate from?,Asian
who was dan cody?,American football player
what are all the inventions benjamin franklin made?,"Lightning rod, Franklin stove, Bifocals, Glass harmonica"
what was wrong with joan crawford?,"Myocardial infarction, Pancreatic cancer"
who does debbie dingle go out with?,"Eli Dingle, Scott Windsor, Andy Sugden, Jasmine Thomas"
what country was anton van leeuwenhoek from?,"Dutch Republic, Netherlands"
what does latin america consist of?,"Bolivia, Honduras, Cuba, El Salvador, Guatemala, Costa Rica, Cuauhtémoc, D.F., Great Pyramid of Tenochtitlán, Paraguay, Belize"
who is the manager of the st louis cardinals?,Mike Matheny
where in oregon was stand by me filmed?,"Mahonia aquifolium, Oregon Swallowtail, Western Meadowlark, Alis volat propriis, Pseudotsuga, Chinook salmon, Milk"
what did writers of the harlem renaissance write about?,"William Henry Draper, Jr."
what is the language they speak in jamaica?,"Jamaican Creole English Language, Jamaican English"
where to live in duluth ga?,You'll Like My Mother
what is the currency in australia 2011?,Australian dollar
what state was theodore roosevelt from?,New York
what does the term prima donna mean?,"Personal assistant, office temp-worker"
what form of government does brazil have?,"Constitutional republic, Presidential system, Federal republic"
where did lebron james go to highschool?,St. Vincent – St. Mary High School
where do the fla marlins play?,Marlins Park
what type of art does wassily kandinsky do?,Painting
who won london mayoral elections 2012?,Stephen Foster
who was arthur miller father?,Isidore Miller
what super bowls have the giants won?,"2010 World Series, 2012 World Series"
where was rod stewart born?,Highgate
what did jack kevorkian go to prison for?,Assisted suicide
who is ruling tunisia now?,Ali Laarayedh
who played eowyn in the lord of the rings movies?,Miranda Otto
where is the parliament in south africa?,Cape Town
what important office did abraham lincoln hold?,"United States Representative, President of the United States, Member of Illinois House of Representatives"
where did michael jordan play high school basketball?,Emsley A. Laney High School
what type of cancer did huell howser die of?,Prostate cancer
what timezone is minneapolis in?,Central Time Zone
who is aidan davis?,"Street dance, Presenter"
what was nicolaus copernicus occupation?,Astronomer
what did richard arkwright contribute to the industrial revolution?,Spinning frame
what kind of currency does greece have?,Euro
when did manchester united first win a trophy?,FA Cup 1976–77
what to see in washington dc in 2 days?,"White House, The Phillips Collection, United States Capitol, Thomas Jefferson Memorial, National Museum of the American Indian, International Spy Museum, National Portrait Gallery, Washington Monument, Lincoln Memorial, Freer Gallery of Art"
where is azerbaijan?,"Europe, Eurasia, Asia"
what is the money of argentina called?,Argentine peso
what did bella abzug do?,Lawyer
what sights to see in madrid?,"Paseo del Prado, Thyssen-Bornemisza Museum, Almudena Cathedral, Plaza de Cibeles, Puerta del Sol, Royal Palace of Madrid, Museo de Lazaro Galdiano, Gran Vía, Museo Nacional Centro de Arte Reina Sofía, Plaza Mayor, Madrid"
what good things has angelina jolie done?,Academy Award for Actress in a Supporting Role
what films has gerard butler starred in?,"Attila, Beowulf & Grendel, 300, Dear Frankie, Butterfly on a Wheel, Gamer, Fast Food, Dracula 2000, Coriolanus"
where was alice paul born?,Mount Laurel Township
what did john quincy adams died of?,Cerebral hemorrhage
what is means testing medicare?,Centers for Medicare and Medicaid Services
who did juan ponce de leon mary?,Leonor de León
what is the political system in italy?,"Constitutional republic, Parliamentary republic, Unitary state"
who is the leader of france 2012?,Nicolas Sarkozy
who is raquel welch's daughter?,Tahnee Welch
what kind of art did leonardo da vinci produce?,"Sculpture, Painting, Drawing"
what money is used in the maldives?,Maldivian rufiyaa
what is anderson cooper?,CNN
where does mike leach coach?,Washington State Cougars football
what condition does michael j fox have?,Parkinson's disease
where did jrr tolkien live?,United Kingdom
what are the major languages of italy?,"Albanian language, Austrian German, Esperanto Language, Italian Language, Occitan language"
what to do in panama city beach fl?,"Thunder Beach Motorcycle Rally, Club La Vela, Man in the Sea Museum, Camp Helen State Park, Pier Park, Shipwreck Island, Latimer Cabin, St. Andrews State Park, Miracle Strip at Pier Park"
where is san miguel mexico on map?,"Guanajuato, Mexico"
where does the tsunami happened in japan?,Japan
where are the great pyramid of giza located?,Cairo Metro
what was liam neeson's character in star wars?,Qui-Gon Jinn
what team does sergio aguero play for?,Argentina national football team
what is the capital of georgia?,Atlanta
when did they stop making ford rangers?,2011 Ford Ranger
what color is miley cyrus red hair?,therichest.org
what is chris paul's son name?,Christopher Emmanuel Paul II
what did einstein invent?,Einstein refrigerator
who does josh hutcherson play in the hunger games?,Peeta Mellark
what is the state flag of colorado called?,Flag of Colorado
who plays claire in lost?,Hayden Panettiere
who are senators from new jersey?,"Joseph S. Frelinghuysen, Frederick Frelinghuysen, Frank Lautenberg, Jon Corzine, Frederick T. Frelinghuysen, Jonathan Elmer, Philemon Dickinson, William Paterson, John Rutherfurd, Bob Menendez"
who does jamie campbell bower play in breaking dawn?,Anne Elizabeth Roseberry
where marie curie come from?,Warsaw
who is facebook's founder?,Mark Zuckerberg
what kind of money do you use in aruba?,Aruban florin
what language do people speak in costa rica?,Spanish Language
what is lil wayne real name?,Dwayne Carter III
what is the political system of the us?,Federal republic
what religions are practiced in afghanistan?,"Shia Islam, Sunni Islam"
where is the world series 2012 being played?,"The Gashouse Gang: How Dizzy Dean, Leo Durocher, Branch Rickey, Pepper Martin, and Their Colorful, Come-from-Behind Ball Club Won the World Series - and America's Heart - During the Great Depression"
where does allen iverson live now?,Hampton
where was dwight howard born?,Atlanta
where do guyanese people live?,Guyana
where is alexandria located?,Egypt
who was the fascist dictator of germany?,Hitler
what is australian currency?,Australian dollar
what did michelle obama do?,First Lady of the United States
where do most chinese live?,China
when did the raiders win the superbowl?,Super Bowl XV
where is the euro used?,"Italy, Portugal, Finland, Luxembourg, France, Slovenia, Austria, Germany, Greece, Spain"
how rich is the roman catholic church?,Catholicism
where did pixie lott go to school?,Italia Conti Academy of Theatre Arts
what date did we invade iraq?,2003 invasion of Iraq
what is the new orleans hornets new name?,Charlotte Hornets
what did darry look like?,Male
when did braves win the world series?,1995 World Series
what is the name of walt disney's son?,Roy O. Disney
what are some sights to see in rome?,"Sistine Chapel, Piazza Navona, Roman Forum, Baths of Caracalla, Castel Sant'Angelo, Bocca della Verità, Pantheon, St. Peter's Basilica, Raphael Rooms, Colosseum"
what is the battle of antietam?,"Maryland Campaign, American Civil War"
what time zone is it in london england?,Greenwich Mean Time
who was governor of texas in 2003?,Rick Perry
what is yale university mascot?,Handsome Dan
what language group does polish belong to?,Lechitic languages
what is the name of the new orleans saints football stadium?,Mercedes-Benz Superdome
what are five countries that border france?,"Italy, Monaco, Luxembourg, Andorra, Switzerland, Germany, Bay of Biscay, Belgium, Piedmont, Spain"
where was hockey world cup 2010 held?,The Cup
when did yuvraj made his odi debut?,10/3/2000
what type of music was scott joplin noted for?,Ragtime
where did sergio romo go to college?,University of North Alabama
what happened to peter parker's uncle?,Marvel Comics
in what city did machiavelli live?,Florence
what illnesses did george washington have?,"Malaria, Smallpox, Tuberculosis"
where is north port florida located?,"Sarasota County, United States of America, Florida"
who was the voice of kitt?,William Daniels
who is the speaker of the house of representatives currently?,Nancy Pelosi
when did sean murray first appear on ncis?,2003
who is abraham maslow?,Psychologist
what is benedict arnold famous for?,Traitor
where is the original mona lisa?,Louvre
what is jill wagner on wipeout?,Him/Herself
what type of language does peru speak?,"Omagua Language, Spanish Language, Waorani Language, Quechua, Puquina Language, Aymara language"
which team does ronaldinho play for 2013?,Brazil national football team
what kind of books does nicholas sparks wrote?,"Das Lächeln der Sterne., Weg Der Traume, Three weeks with my brother, Dear John, A bend in the road, Weg der Träume., Une bouteille à la mer, A Tout Jamais, At first sight, The Choice"
what happened to the people in chernobyl?,"Nuclear accident, Industrial disaster"
what countries has spanish as their official language?,"Honduras, Uruguay, El Salvador, Panama, Equatorial Guinea, Andorra, Guatemala, Puerto Rico, Paraguay, Belize"
what business does raj kundra do?,"Entrepreneur, Businessperson, Film Producer"
what movies is molly ringwald in?,"Office Killer, The Breakfast Club, Sixteen Candles, Fresh Horses, Strike It Rich, Betsy's Wedding, Pretty in Pink, Spacehunter: Adventures in the Forbidden Zone, The Stand, Tempest"
what is the time zone in california called?,Pacific Time Zone
what did michael faraday accomplish?,Experimental researches in electricity
what was the name of the newspaper where hemingway wrote?,Toronto Star
who will alex smith play for in 2011?,San Francisco 49ers
what is the northeast of the united states?,Canada
what currency does brazil use?,Brazilian real
what timezone does sweden have?,Central European Time
who played lois en superman?,"Dana Delany, Anne Heche, Kate Bosworth, Amy Adams, Margot Kidder"
where does the zambezi river end?,Indian Ocean
what is the money currency in switzerland?,Swiss franc
what state did george washington live in?,Virginia
where is mount vernon virginia?,"Fairfax County, Virginia, Washington metropolitan area"
where is kia car from?,South Korea
where do the kansas city chiefs play?,Kansas City
what countries does the mississippi river run through?,United States of America
in what modern country is the yucatan peninsula located?,Mexico
who is lincoln steffens?,Journalist
what type of political system does iran have?,"Islamic republic, Theocracy, Unitary state"
who does the voice of lois in family guy?,Alex Borstein
what are all the movies channing tatum has been in?,"A Guide to Recognizing Your Saints, Battle in Seattle, Stop-Loss, Step Up, Coach Carter, She's the Man, Havoc, Poor Things, Supercross, G.I. Joe: The Rise of Cobra"
what state did woodrow wilson represent?,New Jersey
what hardships did teddy roosevelt overcome?,Cardiovascular disease
where is university of alabama located?,"Tuscaloosa, Alabama, United States of America"
who was arthur miller influenced by?,Henrik Ibsen
where is el salvador located?,Americas
what year was kevin durant drafted?,2007 NBA Draft
what illnesses did george washington suffer from?,"Malaria, Smallpox, Tuberculosis"
what are some places to visit in barcelona?,"Museu Picasso, Gothic Quarter, Barcelona, Park Güell, La Rambla, Palau de la Música Catalana, Sagrada Família, Plaça d'Espanya, Barcelona, Barcelona Museum of Contemporary Art, Casa Milà, Museu Nacional d'Art de Catalunya"
who played princess leia from star wars?,Carrie Fisher
who is the current queen of australia?,Elizabeth II
where did galileo go to school?,University of Pisa
who did david villa play for?,Spain national football team
what did copernicus invented?,Copernican heliocentrism
what's jamaica country code?,jm
where robert frost went to school?,"Dartmouth College, University of Oxford, Harvard University, University of Cambridge, Bates College"
what currency should i take to dubai?,United States dollar
what county is plainfield il in?,Will County
what country is the mekong river located in?,"Thailand, Vietnam, Cambodia, Laos"
who founded the sisters of saint joseph?,Rachel
what is there to do in gatlinburg in december?,37738
where does the english football team train?,the Federation of Free States
who did anne frank wrote her diary to?,Kitty became so idealized and started to lead her own life in the diary that it ceases to matter who is meant by 'Kitty'. The name ... is not meant to be me.
who is tony romo engaged to?,Candice Crawford
what state was hillary clinton a senator for?,New York
what market does starbucks operate in?,"Cafe / Coffee Shop, American food, Bakery, Delicatessen, Bagels"
what country does nike operate in?,"Earth, United States of America, Oregon"
what characters does trey parker voice?,"Eric Cartman, Fosse McDonald, Kenny McCormick, Chef, Butters Stotch, Mr. Garrison, Kyle Broflovski, Stan Marsh"
where will euro 2012 be?,"Italy, Portugal, Finland, Luxembourg, France, Slovenia, Austria, Germany, Greece, Spain"
who the voice of lois griffin?,Alex Borstein
when did the 7th harry potter book come out?,The gospel according to Harry Potter
where is south carolina located?,United States of America
who are paul revere's parents?,"Deborah Hitchborn, Apollos Rivoire"
what political system does russia use?,Constitutional republic
what are american staffordshire terriers?,Dog
what language is mainly spoken in england?,English Language
what awards has morgan freeman won?,"Golden Icon, National Board of Review Award for Best Actor, London Film Critics Circle Award for Best Actor, Golden Globe Award for Best Actor - Musical or Comedy Film, National Society of Film Critics Award for Best Supporting Actor, Kennedy Center Honor, Camie Award, NAACP Image Award for Outstanding Supporting Actor in a Motion Picture, Academy Award for Actor in a Supporting Role"
who will michael schumacher drive for in 2013?,Omega SA
what kind of government does the united states have today?,"Presidential system, Federal republic, Representative democracy, Two-party system, Constitutional republic, Republic"
what is the braves mascot?,Major League Baseball
where to stay in paris france?,"Hôtel Ritz Paris, Hôtel de Crillon"
what teams did george steinbrenner own?,New York Yankees
what to see and do in revelstoke?,Kinbasket Lake
what land did god give to israel?,Israel
what guitar did andres segovia use?,Spanish acoustic guitar
what style of art did vincent van gogh do?,Post-Impressionism
where did the tutsi come from?,Rwanda
what country did osama bin laden live in?,"Sudan, Afghanistan, Saudi Arabia, Pakistan"
where was the roman empire centered?,Rome
who played samuel sullivan in heroes?,Robert Knepper
what time zone is cincinnati oh in?,North American Eastern Time Zone
who was jacob riis and why was he important?,"Photographer, Journalist, Artist"
where does peter king live?,New York City
what are west african countries?,"Ghana, Mauritania, Gambia, Côte d’Ivoire, Mali, Togo, Guinea-Bissau, Guinea, Burkina Faso, Benin"
where are the mines in victoria?,Victoria
what years have the cubs been in the world series?,"1908 World Series, 1907 World Series"
what car companies does ford motor company own?,"Ford Super Enhanced Investment Partnership, Ford India Private Limited, Ford Holdings LLC, Ford Mexico Holdings Inc, Ford Capital B.V., Flat Rock Assembly Plant, Ford Credit CP Auto Receivables LLC, Ford Motor Co (Switzerland) SA, Ford South America Holdings, LLC"
what type of government does the bahamas?,"Parliamentary system, Unitary state, Constitutional monarchy"
what style of music did jimi hendrix play?,Rock music
what character does mila kunis play on family guy?,Meg Griffin
who played anakin skywalker in phantom menace?,Jake Lloyd
where is luke afb arizona?,Glendale
what language people speak in belgium?,"French Language, German Language, Dutch Language"
where was the battle of vicksburg located?,Warren County
where is the cruise ship terminal in vancouver bc?,"Tsawwassen Ferry Terminal, Horseshoe Bay Ferry Terminal"
what was lincoln's wife's name?,Nancy Lincoln
what does the japanese call their country?,Japan
what did king george vi die of?,Lung cancer
what type of currency is used in the united kingdom?,UK £
when are school holidays in queensland 2013?,Woorabinda
who plays the new michael myers?,Brad Loree
who was killed first tupac or biggie?,Tupac
who won the nobel peace prize in 2007?,"Intergovernmental Panel on Climate Change, Al Gore"
what theme songs did alan thicke wrote?,It Takes Diff'rent Strokes
what films did patrick swayze star in?,"City of Joy, Christmas in Wonderland, Father Hood, Along for the Ride, Black Dog, George and the Dragon, Donnie Darko, Dirty Dancing: Havana Nights, Dirty Dancing, 11:14"
where is sony headquarters?,Tokyo
who plays sarah wittle in jumanji?,Bonnie Hunt
what type of music is tchaikovsky?,"Opera, Classical music, Ballet, Art song"
when is wimbledon tennis tournament?,Yearly
what year did ted kennedy run for president?,1980 Democratic National Convention
what shows are on in london at the moment?,"World Organization of the Scout Movement, 2008 Raindance Film Festival, Grunwick dispute, 2003 London blackout, 1st Computer Olympiad, Ocean transport and erection of Cleopatra’s Needle, (from Egypt to) London, 1878, Early fires of London, Fathers 4 Justice protests, 2nd Computer Olympiad, Live Earth"
where is german an official language?,"Canada, German Democratic Republic, Luxembourg, Switzerland, Liechtenstein, Germany, West Germany, Belgium, Vatican City, Second Polish Republic"
what language do you speak in iran?,"Turkmen Language, Pashto language, Kurdish language, Gilaki Language, Assyrian Neo-Aramaic Language, Azerbaijani language, Armenian Language, Persian Language, Mazanderani Language, Luri language"
who did tupac shakur date?,Keisha Morris
what did larry hagman die of?,Leukemia
who is the governor of colorado 2009?,Bill Ritter
what timezone is michigan usa?,UTC-5
who seized power in italy in 1922?,Benito Mussolini
what show is jill wagner on?,"Wipeout, Punk'd, Blade: The Series, Teen Wolf"
who did megan fox have a baby with?,Brian Austin Green
what currency does senegal use?,West African CFA franc
what do ethnic russians look like?,Europeans
what places made up the western roman empire?,"Europe, North Africa, Middle East"
what experiments did marie curie conduct?,Radio-active substances
what company did mitt romney run?,Bain Capital
what is the king of spain's name?,Juan Carlos I of Spain
who is blackwell?,"Critic, Journalist, Actor, Fashion Designer"
where did justin bieber grew up?,Canada
what district does john cornyn represent?,Texas
who drafted kevin garnett?,Minnesota Timberwolves
what is zip code for chicago illinois?,"60605, 60604, 60607, 60606, 60601, 60610, 60603, 60602, 60290, 60608"
what is the name of book written by helen keller?,"Light in my Darkness, Die Geschichte meines Lebens, The Frost King, The open door, The World I Live In, Peace at eventide, My religion, Jia ru gei wo san tian guang ming, The Story of My Life, Helen Keller, her Socialist years"
who did the voice of darth vader in star wars?,James Earl Jones
what are the duggars kids full names?,Jana Duggar
who is prime minister of japan 2011?,Yoshihiko Noda
what year did aaron rodgers get drafted?,2005 NFL Draft
who plays the voice of kovu?,Jason Marsden
who is martin luther king jr wife?,Coretta Scott King
who is the new governor of florida 2011?,Rick Scott
what kind of money does the uk use?,UK £
where in oklahoma are scorpions found?,Oklahoma City
where does the philadelphia union soccer team play?,PPL Park
where is the portuguese language derived from?,"Brazil, Canada, Angola, Portugal, Macau, Cape Verde, Andorra, Timor-Leste, Guinea-Bissau, Mozambique"
what 5 countries border ethiopia?,"Sudan, Eritrea, Djibouti, Somalia, Kenya"
what city is the university of maryland university college in?,Adelphi
where did anne frank live before the war?,Frankfurt
where was joseph p kennedy born?,Boston
who are iran's major trading partners?,Madagascar
where do the san francisco giants play baseball?,"Polo Grounds, Polo Grounds III, Polo Grounds II, Seals Stadium, Candlestick Park, Hilltop Park, St. George Cricket Grounds, Polo Grounds IV, AT&T Park"
what happened to the battle of shiloh?,Surprise Attack!
what type of currency does egypt have?,Egyptian pound
what state is kaplan university online located?,Maryland
who do rastafarians worship?,"Zion, Afrocentrism, Jah"
what timezone are the bahamas?,"UTC-5, North American Eastern Time Zone"
where did l frank baum die?,Hollywood
what inspired steinbeck to write?,"William Faulkner, Robert Burns, Sherwood Anderson, Thomas Malory"
who is the leader of cuba 2012?,Raúl Castro
where did gareth southgate play?,England
what musical instruments did duke ellington play?,"Piano, Jazz piano"
what is the boston celtics current roster?,"Jeff Green, Jason Terry, Kevin Garnett, Rajon Rondo, Fab Melo, Brandon Bass, Jared Sullinger, Avery Bradley, Paul Pierce, Courtney Lee"
what features do islam and christianity have in common?,Abrahamic religions
what was queen victoria queen of?,United Kingdom
what movies did robert blake play in?,"Alfalfa's Double, Busting, Captain Spanky's Show Boat, Bubbling Troubles, Dancing Romeo, Dad for a Day, Bridal Suite, All About Hash, Coast to Coast, Auto Antics"
what tv shows are taped in new york city?,Flight of the Conchords
what did gerald ford die of?,Cardiovascular disease
where is the gobi desert located?,Mongolia
who is prime minister of japan 2012?,Shinzō Abe
what city was barack obama born in?,Honolulu
what airport do you fly into to get to cabo san lucas?,Cabo San Lucas International Airport
what countries speak spanish wikipedia?,Spain
who runs china 2011?,Wen Jiabao
what major airport is near destin florida?,"Northwest Florida Regional Airport, Destin–Fort Walton Beach Airport"
what country did vasco da gama came from?,Portugal
what is the current government of vietnam?,"Single-party state, Communist state, Socialist state, Dictatorship"
what does nazis stand for?,National Socialist Party
where is the nfl hall of fame located and when was the building opened?,Canton
where did laura ingalls wilder live?,Wisconsin
where christopher columbus was born?,Genoa
who did kat graham play in parent trap?,Jackie
what does sammy hagar sing?,"Rock music, Hard rock, Heavy metal"
who plays young lex luthor in smallville?,Michael Rosenbaum
what are the main sports in new zealand?,"New Zealand national women's cricket team, New Zealand national cricket team, A1 Team New Zealand, New Zealand Davis Cup team, New Zealand Fed Cup team, New Zealand national football team, New Zealand men's national ice hockey team, New Zealand national basketball team, New Zealand national badminton team, New Zealand women's national field hockey team"
who makes lois griffin voice?,Alex Borstein
what is the zip code for trenton ga?,"08610, 08611, 08618, 08608, 08603, 08602, 08601, 08607, 08605, 08604"
what language do you speak in finland?,"Saami, North Language, Swedish Language, Finnish Language, Saami, Inari Language"
what inventions did da vinci made?,"Double hull, Viola organista"
what was lebron james rookie year?,2003–04 NBA season
what are shirley temple kids names?,"Charles Alden Black Jr., Lori Black, Linda Susan Agar"
who does malcom floyd play for?,San Diego Chargers
what did kourtney kardashian go to college for?,Theatre
what are the four official languages of nigeria?,English Language
where is bergen belsen concentration camp located?,Germany
what was the name of tecumseh brother?,Tenskwatawa
what did donna summers die from?,"Lung cancer, Cancer"
what year did allen iverson get married?,8/3/2001
where was selena gomez really born?,Grand Prairie
what is the best neighborhood to live in in philadelphia?,Rittenhouse Square
when did the battle of thermopylae occur?,Greece
where did eleanor roosevelt go to school?,"Allenswood Academy, The New School"
what do you say after a sneeze in german?,Wymysorys
where is husqvarna 235 made?,United States of America
what do people speak in singapore?,"Malay Language, Tamil Language, Standard Mandarin, English Language"
what is the currency in slovakia 2012?,Euro
what is the mascot of dartmouth college?,"Dartmouth Moose, Keggy the Keg"
who pays social security and medicare?,Centers for Medicare and Medicaid Services
what movies star adam sandler?,"Funny People, Anger Management, Happy Gilmore, Big Daddy, 50 First Dates, Click, Bulletproof, Billy Madison, Eight Crazy Nights, Airheads"
what university did bill clinton graduated from?,Yale Law School
where did president kennedy go to school?,"Riverdale Country School, Stanford Graduate School of Business, Stanford University, Canterbury School, London School of Economics, Choate Rosemary Hall, Harvard University, Edward Devotion School, Harvard College, Princeton University"
when did the ny knicks last win a championship?,1973 NBA Finals
what happened at fukushima daiichi nuclear plant?,2011 Tōhoku earthquake and tsunami
who was louis kossuth?,"Politician, Lawyer"
when did the red sox win the pennant?,"1918 World Series, 2007 World Series, 2004 World Series, 1903 World Series, 1912 World Series, 1916 World Series, 1915 World Series"
where did harry truman die?,Kansas City
what was prince charles last name?,Mountbatten-Windsor
what was reagan before president?,Governor of California
where did bernie madoff work?,Bernard L. Madoff Investment Securities
what website did mark zuckerberg co founder?,Facebook
what bass does jared followill use?,bass guitar
who played captain kirk in star trek?,"Jimmy Bennett, Chris Pine, William Shatner"
where is canadian county oklahoma?,"Oklahoma City, OK Metropolitan Statistical Area, Oklahoma"
in which province islamabad is located?,Pakistan
what does rob kardashian do for living?,TV Personality
